,State_FIPS_Code,Name,State_Abbreviation,Year,Annual_Federal_Minimum,Annual_State_Minimum,Annual_Federal_Average,Annual_State_Average,Annual_Federal_Maximum,Annual_State_Maximum
1598,35,New Mexico,NM,2004,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1599,35,New Mexico,NM,2005,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1600,35,New Mexico,NM,2006,5.15,5.150000095367432,5.150000000000033,5.150000095367432,5.15,5.150000095367432
1601,35,New Mexico,NM,2007,5.15,5.150000095367432,5.458767123287624,5.458766937255859,5.8500000000000005,5.849999904632568
1602,35,New Mexico,NM,2008,5.8500000000000005,6.5,6.15792349726776,6.521994590759277,6.55,6.550000190734863
1603,35,New Mexico,NM,2009,6.55,7.5,6.858767123287673,7.5,7.25,7.5
1604,35,New Mexico,NM,2010,7.25,7.5,7.25,7.5,7.25,7.5
1605,35,New Mexico,NM,2011,7.25,7.5,7.25,7.5,7.25,7.5
1606,35,New Mexico,NM,2012,7.25,7.5,7.25,7.5,7.25,7.5
1607,35,New Mexico,NM,2013,7.25,7.5,7.25,7.5,7.25,7.5
1608,35,New Mexico,NM,2014,7.25,7.5,7.25,7.5,7.25,7.5
1609,35,New Mexico,NM,2015,7.25,7.5,7.25,7.5,7.25,7.5
1610,35,New Mexico,NM,2016,7.25,7.5,7.25,7.5,7.25,7.5
1611,35,New Mexico,NM,2017,7.25,7.5,7.25,7.5,7.25,7.5
1612,35,New Mexico,NM,2018,7.25,7.5,7.25,7.5,7.25,7.5
1613,35,New Mexico,NM,2019,7.25,7.5,7.25,7.5,7.25,7.5
1614,35,New Mexico,NM,2020,7.25,9.0,7.25,9.0,7.25,9.0
1615,35,New Mexico,NM,2021,7.25,10.5,7.25,10.5,7.25,10.5
1616,35,New Mexico,NM,2022,7.25,11.5,7.25,11.5,7.25,11.5
1617,32,Nevada,NV,1974,2.0,2.0,2.0,2.0,2.0,2.0
1618,32,Nevada,NV,1975,2.1,2.0999999046325684,2.100000000000014,2.0999999046325684,2.1,2.0999999046325684
1619,32,Nevada,NV,1976,2.3000000000000003,2.299999952316284,2.299999999999987,2.299999952316284,2.3000000000000003,2.299999952316284
1620,32,Nevada,NV,1977,2.3000000000000003,2.299999952316284,2.2999999999999874,2.299999952316284,2.3000000000000003,2.299999952316284
1621,32,Nevada,NV,1978,2.65,2.6500000953674316,2.6499999999999844,2.6500000953674316,2.65,2.6500000953674316
1622,32,Nevada,NV,1979,2.9,2.9000000953674316,2.8999999999999875,2.9000000953674316,2.9,2.9000000953674316
1623,32,Nevada,NV,1980,3.1,3.0999999046325684,3.1000000000000054,3.0999999046325684,3.1,3.0999999046325684
